x,y,z,Bx,By,Bz,magnitude
0,0,-65,-0.021349301,-0.098219585,-1.815913961,1.818693596
0,0,-64,-0.023614951,-0.095953934,-1.768334773,1.771093643
0,0,-63,-0.02426228,-0.093688283,-1.717680765,1.720405
0,0,-62,-0.019083651,-0.09045164,-1.669454291,1.672011757
0,0,-61,-0.022482126,-0.087053164,-1.623493512,1.625981206
0,0,-60,-0.023453119,-0.084787513,-1.574296082,1.576752081
0,0,-59,-0.022320294,-0.083654688,-1.525584177,1.528039065
0,0,-58,-0.021834797,-0.078799722,-1.481727298,1.483981785
0,0,-57,-0.016008839,-0.076534072,-1.435766602,1.437894114
0,0,-56,-0.020378308,-0.073297428,-1.391424259,1.393502515
0,0,-55,-0.019569147,-0.072326435,-1.348700267,1.35077995
0,0,-54,-0.019730979,-0.069089791,-1.306299956,1.308274545
0,0,-53,-0.020054644,-0.067147805,-1.266003491,1.267941583
0,0,-52,-0.01455235,-0.064234826,-1.223441377,1.225212914
0,0,-51,-0.01827449,-0.062940169,-1.186057934,1.187867352
0,0,-50,-0.015847007,-0.059056196,-1.147379838,1.149007944
0,0,-49,-0.007431735,-0.057599707,-1.106436092,1.107959288
0,0,-48,-0.006784406,-0.055657721,-1.070832845,1.072299768
0,0,-47,-0.006460742,-0.054201231,-1.033773111,1.035213195
0,0,-46,-0.009211889,-0.052097413,-1.003510366,1.004904002
0,0,-45,-0.006946238,-0.051450084,-0.970658302,0.972045729
0,0,-44,-0.008402728,-0.049022602,-0.940233737,0.941548353
0,0,-43,-0.008079064,-0.046756951,-0.909000014,0.910237611
0,0,-42,-0.006784406,-0.046433287,-0.876633468,0.877888555
0,0,-41,-0.007108071,-0.044167637,-0.853491392,0.85466301
0,0,-40,-0.007108071,-0.042711147,-0.824847008,0.825982659
0,0,-39,-0.008240896,-0.040769161,-0.798468286,0.7995509
0,0,-38,-0.007755399,-0.040607329,-0.772089569,0.773195579
0,0,-37,-0.00856456,-0.038989007,-0.744739859,0.745808925
0,0,-36,-0.00856456,-0.037047021,-0.723701624,0.724699851
0,0,-35,-0.009697385,-0.035752364,-0.700883233,0.701861509
