x,y,z,Bx,By,Bz,magnitude
44.8,-16.5,65,1.475275482,-0.579023361,-0.585496659,1.689530153
40.8,-16.5,65,1.385782035,-0.615435666,-0.935378753,1.781596565
36.8,-16.5,65,1.229451814,-0.622070797,-1.202079408,1.82852912
32.8,-16.5,65,1.04917052,-0.612199016,-1.387216593,1.843886193
28.8,-16.5,65,0.871478666,-0.596015769,-1.505840487,1.839093645
24.8,-16.5,65,0.716928903,-0.579508858,-1.587080938,1.835386464
20.8,-16.5,65,0.581799047,-0.564943938,-1.640162384,1.829695174
16.8,-16.5,65,0.455893646,-0.552968337,-1.672205465,1.819308692
12.8,-16.5,65,0.327237111,-0.544391219,-1.688712511,1.804216137
8.8,-16.5,65,0.22010425,-0.537756089,-1.701497382,1.797976872
4.8,-16.5,65,0.112647718,-0.533224782,-1.706352396,1.791272363
0.8,-16.5,65,0.007618656,-0.533710279,-1.705543227,1.787115667
-3.2,-16.5,65,-0.099676074,-0.5358141,-1.701335548,1.786497892
-7.2,-16.5,65,-0.207294494,-0.541316403,-1.689359846,1.786037834
-11.2,-16.5,65,-0.315560273,-0.550702683,-1.673661969,1.789970982
-15.2,-16.5,65,-0.430784883,-0.561059959,-1.64954874,1.794818915
-19.2,-16.5,65,-0.555072159,-0.574977549,-1.612812489,1.799963447
-23.2,-16.5,65,-0.689069457,-0.590351633,-1.558274556,1.803205856
-27.2,-16.5,65,-0.829378323,-0.606858544,-1.482698299,1.804034351
-31.2,-16.5,65,-0.981015602,-0.620128808,-1.370062261,1.795556167
-35.2,-16.5,65,-1.138964522,-0.627411269,-1.205154237,1.772930291
-39.2,-16.5,65,-1.275713482,-0.616730325,-0.978749942,1.722136066
-43.2,-16.5,65,-1.366016428,-0.579023361,-0.673371702,1.629324518
44.8,-12.5,65,1.50343437,-0.466549835,-0.707194703,1.72571956
40.8,-12.5,65,1.392255339,-0.489691865,-1.041702922,1.806465618
36.8,-12.5,65,1.211326579,-0.491148356,-1.288012804,1.835079227
32.8,-12.5,65,1.029265143,-0.48192391,-1.453730111,1.845255708
28.8,-12.5,65,0.856913764,-0.471242973,-1.560863893,1.841919443
24.8,-12.5,65,0.698641867,-0.459105545,-1.628024856,1.830121113
20.8,-12.5,65,0.563026518,-0.448424609,-1.671719964,1.820090967
16.8,-12.5,65,0.437444784,-0.439200165,-1.698098872,1.807704208
12.8,-12.5,65,0.321411155,-0.433536033,-1.713796753,1.796763182
8.8,-12.5,65,0.209261497,-0.429813888,-1.722050279,1.787173052
4.8,-12.5,65,0.1014813,-0.42851923,-1.722697614,1.77809287
0.8,-12.5,65,0.002440027,-0.427548236,-1.722859448,1.775119186
-3.2,-12.5,65,-0.101456228,-0.430461218,-1.719784605,1.77573909
-7.2,-12.5,65,-0.2063235,-0.434992524,-1.708779904,1.775307478
-11.2,-12.5,65,-0.317016764,-0.44227498,-1.692758356,1.778071325
-15.2,-12.5,65,-0.42576808,-0.451661257,-1.672205465,1.783689285
-19.2,-12.5,65,-0.546333208,-0.46218036,-1.639191381,1.788585767
-23.2,-12.5,65,-0.675313692,-0.473508627,-1.592421448,1.793339084
-27.2,-12.5,65,-0.819668363,-0.486293385,-1.521538338,1.795387534
-31.2,-12.5,65,-0.970496469,-0.49745982,-1.419583263,1.790124663
-35.2,-12.5,65,-1.127474379,-0.503933116,-1.273447817,1.773926832
-39.2,-12.5,65,-1.273771484,-0.498430814,-1.065168693,1.733641085
-43.2,-12.5,65,-1.382523426,-0.472699465,-0.781961358,1.657190205
44.8,-8.5,65,1.528194776,-0.338864123,-0.788434663,1.752665794
40.8,-8.5,65,1.385296537,-0.354561856,-1.125046884,1.819475501
36.8,-8.5,65,1.201454799,-0.356342012,-1.352260599,1.843659945
32.8,-8.5,65,1.008874271,-0.352458036,-1.50551682,1.846248861
28.8,-8.5,65,0.840083212,-0.345175583,-1.595496288,1.835890626
24.8,-8.5,65,0.68181132,-0.33934962,-1.656345757,1.823048575
20.8,-8.5,65,0.546034143,-0.33368549,-1.69421486,1.811039283
16.8,-8.5,65,0.424821879,-0.32802136,-1.715576925,1.797574985
12.8,-8.5,65,0.308626418,-0.325108378,-1.729980138,1.787114155
8.8,-8.5,65,0.202950045,-0.323328223,-1.737100829,1.778552543
4.8,-8.5,65,0.099701147,-0.323166391,-1.738557334,1.77114608
0.8,-8.5,65,-0.001929441,-0.323975552,-1.73758633,1.767532216
-3.2,-8.5,65,-0.102265389,-0.326726701,-1.732731314,1.766229417
-7.2,-8.5,65,-0.202763191,-0.331096173,-1.724801455,1.76795861
-11.2,-8.5,65,-0.309086982,-0.336598471,-1.711045578,1.771019554
-15.2,-8.5,65,-0.41751463,-0.342909931,-1.692758356,1.776889568
-19.2,-8.5,65,-0.538403419,-0.350516049,-1.662009938,1.781857675
-23.2,-8.5,65,-0.663176253,-0.359578658,-1.621227841,1.788149676
-27.2,-8.5,65,-0.804132429,-0.367508441,-1.556494387,1.790074354
-31.2,-8.5,65,-0.952533028,-0.375600057,-1.464896618,1.787265138
-35.2,-8.5,65,-1.117926233,-0.379160368,-1.325396277,1.774879415
-39.2,-8.5,65,-1.272638651,-0.373496237,-1.128121711,1.741197051
-43.2,-8.5,65,-1.39433726,-0.351648875,-0.854300555,1.672621524
44.8,-4.5,65,1.531755096,-0.212149461,-0.86239219,1.770593504
40.8,-4.5,65,1.37671941,-0.224610543,-1.17845178,1.826076348
36.8,-4.5,65,1.197247156,-0.229627342,-1.391586093,1.850038195
32.8,-4.5,65,1.006123121,-0.232216658,-1.534161354,1.849286179
28.8,-4.5,65,0.836037406,-0.230436503,-1.622360676,1.839596067
24.8,-4.5,65,0.684076971,-0.230760168,-1.677222312,1.826002804
20.8,-4.5,65,0.547005136,-0.229141846,-1.711207411,1.811063613
16.8,-4.5,65,0.421747069,-0.228332684,-1.730627474,1.795850177
12.8,-4.5,65,0.307655425,-0.227038026,-1.742765015,1.784216361
8.8,-4.5,65,0.20181722,-0.226876194,-1.748429201,1.774600707
4.8,-4.5,65,0.103423286,-0.228494517,-1.750856709,1.768729865
0.8,-4.5,65,-0.002091274,-0.229789174,-1.748752869,1.763786845
-3.2,-4.5,65,-0.100647067,-0.232863987,-1.742926848,1.761291988
-7.2,-4.5,65,-0.203248688,-0.2359388,-1.734025985,1.761767085
-11.2,-4.5,65,-0.304717511,-0.23885178,-1.722859448,1.765827741
-15.2,-4.5,65,-0.414439816,-0.243706748,-1.703763055,1.770299943
-19.2,-4.5,65,-0.527722479,-0.249694541,-1.678516982,1.777148738
-23.2,-4.5,65,-0.654113632,-0.253093018,-1.640486051,1.784128696
-27.2,-4.5,65,-0.795231634,-0.258918979,-1.580607593,1.788226147
-31.2,-4.5,65,-0.944117723,-0.261670128,-1.493379308,1.78606027
-35.2,-4.5,65,-1.106921591,-0.261184631,-1.362617929,1.774886036
