x,y,z,Bx,By,Bz,magnitude
38,-16,-65,-1.245774348,0.406049353,-1.12423772,1.726482045
34,-16,-65,-1.078924491,0.390513469,-1.329927608,1.756498298
30,-16,-65,-0.910942007,0.373197433,-1.460688949,1.761449366
26,-16,-65,-0.752669656,0.359441703,-1.550668378,1.760761871
22,-16,-65,-0.606373047,0.34778979,-1.604235305,1.749919119
18,-16,-65,-0.477068939,0.340021849,-1.639515049,1.741039697
14,-16,-65,-0.361035149,0.334357725,-1.66298094,1.734256923
10,-16,-65,-0.250018205,0.333548564,-1.675118473,1.726205563
6,-16,-65,-0.145150922,0.33403406,-1.681753658,1.720739059
2,-16,-65,-0.037532518,0.338079863,-1.682724661,1.716761185
-2,-16,-65,0.066525558,0.344391316,-1.67884065,1.715090947
-6,-16,-65,0.172040109,0.356852389,-1.670587127,1.716916648
-10,-16,-65,0.278040148,0.36688598,-1.658449595,1.721152726
-14,-16,-65,0.389866141,0.382421863,-1.637087543,1.725774526
-18,-16,-65,0.510269241,0.401032557,-1.606824643,1.732941789
-22,-16,-65,0.640220454,0.423203558,-1.558598223,1.737300176
-26,-16,-65,0.772761009,0.448934865,-1.492408307,1.739535756
-30,-16,-65,0.917115362,0.47369518,-1.392557093,1.733407906
-34,-16,-65,1.070856055,0.497160839,-1.23865369,1.711188053
-38,-16,-65,1.211650244,0.512211227,-1.02471047,1.667479595
-38,-12,-65,1.19951281,0.393264615,-1.126827047,1.692107335
-34,-12,-65,1.053539994,0.376757739,-1.306623622,1.720220394
-30,-12,-65,0.905301607,0.352968418,-1.43851777,1.735940978
-26,-12,-65,0.761432755,0.330311922,-1.524289508,1.735610645
-22,-12,-65,0.627112049,0.308626418,-1.584977101,1.732244844
-18,-12,-65,0.502501299,0.289530228,-1.625273683,1.725644764
-14,-12,-65,0.389380645,0.273023352,-1.652138079,1.719220542
-10,-12,-65,0.27739282,0.258134798,-1.67026346,1.712705572
-6,-12,-65,0.171230948,0.247130214,-1.680458988,1.70714258
-2,-12,-65,0.061832426,0.23693479,-1.688550677,1.706213566
2,-12,-65,-0.03769435,0.231108834,-1.691787353,1.707915866
6,-12,-65,-0.154051693,0.221884403,-1.692596522,1.714015052
10,-12,-65,-0.24532507,0.223340892,-1.685637669,1.717975522
14,-12,-65,-0.356989341,0.220589746,-1.674956639,1.726725505
18,-12,-65,-0.468653655,0.221722571,-1.656993092,1.73620945
22,-12,-65,-0.593588282,0.224150053,-1.626244685,1.745640877
26,-12,-65,-0.73033676,0.230461505,-1.57866559,1.754619427
30,-12,-65,-0.882297613,0.23920044,-1.503574818,1.759659956
34,-12,-65,-1.043968583,0.248586703,-1.388673093,1.755015302
38,-12,-65,-1.214378723,0.258620294,-1.210818395,1.734266797
38,-8,-65,-1.191074759,0.117664514,-1.2582355,1.736565747
34.0,-8.0,-65.0,-1.0235776398454541,0.10989657134300741,-1.4200687635997362,1.7539622956427037
30.0,-8.0,-65.0,-0.8620685245293368,0.10487977516034264,-1.5259078438390359,1.7557211213946728
26.0,-8.0,-65.0,-0.7131825073323689,0.10212862885494166,-1.5940397848415955,1.7492919656976977
22.0,-8.0,-65.0,-0.5765958739634779,0.10261412526238527,-1.6387058801859868,1.740215337919765
18.0,-8.0,-65.0,-0.4547360715396039,0.10131946817528655,-1.6645992779876255,1.7285662514545166
14.0,-8.0,-65.0,-0.34032061389201895,0.1042324466186464,-1.6828864943135071,1.720113216015375
10.0,-8.0,-65.0,-0.235291470730748,0.106659928647641,-1.6913018516572869,1.710917990435873
6.0,-8.0,-65.0,-0.12815854044856773,0.11232405335715823,-1.6945385277541318,1.7030860596269437
2.0,-8.0,-65.0,-0.02879358050985903,0.1179881780327101,-1.6966423672754243,1.7009837162265875
-2.0,-8.0,-65.0,0.07704464743371547,0.12640344891853916,-1.691787353064883,1.6982515000985485
-6.0,-8.0,-65.0,0.1845011827173686,0.13562788038636123,-1.6822391591635484,1.6977526901717717
-10.0,-8.0,-65.0,0.28548442540552893,0.14663246519123618,-1.6723672986618938,1.7028842646025197
-14.0,-8.0,-65.0,0.3965012577802085,0.15812254627074332,-1.6560220892103252,1.710153544864601
-18.0,-8.0,-65.0,0.5096219129030148,0.17139278062235516,-1.6285103566645314,1.7149740409475678
-22.0,-8.0,-65.0,0.6305105242372155,0.18887065005560275,-1.5932306166306311,1.7238327765173556
-26.0,-8.0,-65.0,0.7636984062049285,0.2047301980688987,-1.536265190652334,1.7277906255247857
-30.0,-8.0,-65.0,0.9049779419890153,0.22366455622146864,-1.4574522801476555,1.7300803617474014
-34.0,-8.0,-65.0,1.0609842815381558,0.24340807479464352,-1.3334879396260966,1.7213730628990696
-38.0,-8.0,-65.0,1.2381907671340064,0.2636370895721104,-1.1790991126934074,1.7299987307418272
-38.0,-4.0,-65.0,1.2326884632008752,0.13789353020819314,-1.2208520469273731,1.7404066172790111
-34.0,-4.0,-65.0,1.0643827608581278,0.12268130988167841,-1.395470092899653,1.7593459425546816
-30.0,-4.0,-65.0,0.9028741226059674,0.10504160729569482,-1.5103718255315066,1.7627928045842864
-26.0,-4.0,-65.0,0.7581961114490247,0.08999121858218158,-1.5831969313504042,1.7576894737909947
-22.0,-4.0,-65.0,0.6206387627097046,0.07769197599598524,-1.6323943655016484,1.7481246755976882
-18.0,-4.0,-65.0,0.4968371745588693,0.06506906893646422,-1.6655702805380919,1.7393117952706572
-14.0,-4.0,-65.0,0.38387835251983665,0.0547118117074236,-1.6875796742802154,1.7315545411327273
-10.0,-4.0,-65.0,0.2735088487396435,0.04516371507066034,-1.7027920522940392,1.725209443764326
-6.0,-4.0,-65.0,0.17301110187542504,0.03448279325715197,-1.710721909874147,1.7197939868851773
-2.0,-4.0,-65.0,0.07138052249152137,0.028171339380342015,-1.7155769250439168,1.717292342350826
2.0,-4.0,-65.0,-0.027984419677616668,0.02040339606555501,-1.719460937357835,1.7198096817424844
6.0,-4.0,-65.0,-0.13042419124651222,0.011988124036720305,-1.7180044327215411,1.7229896736867263
10.0,-4.0,-65.0,-0.23108383240914274,0.006971327197371753,-1.7137967527863058,1.7293199955082563
14.0,-4.0,-65.0,-0.3414534399747158,0.0016308660014687755,-1.7048958919961643,1.7387533217624282
18.0,-4.0,-65.0,-0.4540887420781936,-0.003224098762405151,-1.6913018516572869,1.75120213964989
22.0,-4.0,-65.0,-0.5756248792633643,-0.009050056530607005,-1.6679977869564973,1.7645516491284527
