x,y,z,Bx,By,Bz,magnitude
36,-16,-65,-1.101904769,0.420776076,-1.285261639,1.744460979
34,-16,-65,-1.020826481,0.413008134,-1.368282095,1.756376473
32,-16,-65,-0.939424573,0.400061564,-1.434310102,1.760628652
30,-16,-65,-0.857051711,0.392940951,-1.491922807,1.764872202
28,-16,-65,-0.772575066,0.38371652,-1.53577969,1.761456743
26,-16,-65,-0.703310721,0.37449209,-1.570897577,1.761422576
24,-16,-65,-0.632913574,0.368180637,-1.597761959,1.757549388
22,-16,-65,-0.564458441,0.362031017,-1.620742339,1.753991311
20,-16,-65,-0.486131552,0.354263075,-1.638220379,1.74516252
18,-16,-65,-0.41541081,0.348598951,-1.649710573,1.736557614
16,-16,-65,-0.354238192,0.343743987,-1.659906099,1.73174273
14,-16,-65,-0.29403658,0.341802002,-1.666864951,1.726767177
12,-16,-65,-0.240470103,0.33937452,-1.673176468,1.724099889
10,-16,-65,-0.1917586,0.338241695,-1.676574977,1.721070149
8,-16,-65,-0.136735647,0.336947038,-1.678355148,1.717296115
6,-16,-65,-0.081712702,0.336785206,-1.679811652,1.715187578
4,-16,-65,-0.029602741,0.337432535,-1.679649819,1.713464488
2,-16,-65,0.020241564,0.340992841,-1.678031481,1.712447222
0,-16,-65,0.073322508,0.342611163,-1.674794805,1.711051209
-2,-16,-65,0.125917953,0.346656965,-1.671396296,1.711605083
-4,-16,-65,0.177218737,0.35005544,-1.665246613,1.710845281
-6,-16,-65,0.229005016,0.353292082,-1.658287762,1.71089944
-8,-16,-65,0.284837097,0.358308878,-1.651814412,1.714061923
-10,-16,-65,0.337108871,0.363973002,-1.641133386,1.714478792
-12,-16,-65,0.393911944,0.37222644,-1.629157691,1.716937368
-14,-16,-65,0.448934865,0.379023389,-1.615401828,1.718931153
-16,-16,-65,0.504443285,0.387924155,-1.600513131,1.722379302
-18,-16,-65,0.5518601,0.39892874,-1.591126779,1.730716076
-20,-16,-65,0.608663183,0.408962331,-1.573648748,1.73611389
-22,-16,-65,0.660287642,0.417863098,-1.553905049,1.739313152
-24,-16,-65,0.727124331,0.428220353,-1.520729171,1.739166373
-26,-16,-65,0.79185721,0.439224938,-1.483831133,1.738306997
-28,-16,-65,0.864196215,0.451686011,-1.440621604,1.739610864
-30,-16,-65,0.937344396,0.463661588,-1.38074326,1.732064818
-32,-16,-65,1.012110917,0.47596083,-1.31552445,1.726705475
-34,-16,-65,1.083802644,0.488583736,-1.231371199,1.711612476
-36,-16,-65,1.155818055,0.4934387,-1.13508053,1.693459458
-38,-16,-65,1.220712861,0.500235649,-1.019855484,1.667477377
