x,y,z,Bx,By,Bz,magnitude
36,-16,-65,-1.161621144,0.38598217,-1.230076534,1.735348437
28,-16,-65,-0.844428761,0.354424907,-1.503251151,1.760238896
24,-16,-65,-0.694248099,0.340669177,-1.576399919,1.755868052
20,-16,-65,-0.556204986,0.332739403,-1.62381718,1.748388324
16,-16,-65,-0.432565038,0.32561879,-1.653109082,1.739514227
12,-16,-65,-0.316369435,0.32173482,-1.671234462,1.731076989
8,-16,-65,-0.205676171,0.32254398,-1.681591824,1.724554542
4,-16,-65,-0.10307455,0.324324133,-1.685475835,1.719488091
0,-16,-65,0.005029341,0.331282914,-1.685314001,1.717572981
-4,-16,-65,0.108601914,0.338241695,-1.679811652,1.716965057
-8,-16,-65,0.216543943,0.351997425,-1.671234462,1.721574307
-12,-16,-65,0.326427951,0.366400484,-1.655698422,1.72688789
-16,-16,-65,0.44165242,0.38371652,-1.631585197,1.733310556
-20,-16,-65,0.565615832,0.404916528,-1.595819955,1.740838876
-24,-16,-65,0.652196034,0.424660047,-1.568308239,1.750795977
-28,-16,-65,0.789591559,0.449744026,-1.501632816,1.755171112
-32,-16,-65,0.939448215,0.478064648,-1.39725026,1.750261993
-36,-16,-65,1.094645412,0.502663131,-1.239786522,1.728580175
-36,-12,-65,1.082669817,0.370284455,-1.307432788,1.737430576
-32,-12,-65,0.92342682,0.34778979,-1.448389608,1.752571621
-28,-12,-65,0.775350325,0.322058484,-1.539016361,1.753128961
-24,-12,-65,0.635527321,0.300696644,-1.601645966,1.749166444
-20,-12,-65,0.508812752,0.279496637,-1.639838716,1.739563107
-16,-12,-65,0.390351637,0.263313425,-1.664922946,1.730224487
-12,-12,-65,0.283218776,0.248910367,-1.681591824,1.723345673
-8,-12,-65,0.171878277,0.237096622,-1.693729359,1.71885895
-4,-12,-65,0.060699601,0.226739367,-1.700688213,1.716809709
0,-12,-65,-0.04222565,0.219618753,-1.701659216,1.716292367
4,-12,-65,-0.141266949,0.214601957,-1.698908041,1.718225504
8,-12,-65,-0.243383083,0.212174476,-1.691625519,1.722164403
12,-12,-65,-0.352781701,0.210879819,-1.68013532,1.729676247
16,-12,-65,-0.46557884,0.214116461,-1.660553434,1.737828307
20,-12,-65,-0.591646292,0.218000432,-1.632556199,1.75008836
24,-12,-65,-0.725643615,0.223826388,-1.585300769,1.757792773
28,-12,-65,-0.875015141,0.235801965,-1.512637495,1.763328175
32,-12,-65,-1.037980766,0.246968381,-1.400810593,1.76087131
36,-12,-65,-1.203535906,0.263798922,-1.232665864,1.742857906
36,-8,-65,-1.17311129,0.117179017,-1.279435645,1.739792111
32,-8,-65,-1.012734838,0.108601914,-1.431558934,1.756925499
28,-8,-65,-0.848312746,0.1014813,-1.535941524,1.757569154
24,-8,-65,-0.702825224,0.096788168,-1.598894794,1.749227203
20,-8,-65,-0.569798911,0.094684351,-1.642266222,1.740883187
16,-8,-65,-0.448100945,0.094684351,-1.667835953,1.729576928
12,-8,-65,-0.33514198,0.095979008,-1.684342998,1.720041701
8,-8,-65,-0.227685355,0.09921565,-1.695509531,1.713603494
4,-8,-65,-0.128805869,0.106821761,-1.700040877,1.708256663
0,-8,-65,-0.033001217,0.113456878,-1.703601221,1.707693961
